image;irma_code
/scratch/hnkmah001/Datasets/ImageCLEF09/train/1877.png;1121-117-720-452
/scratch/hnkmah001/Datasets/ImageCLEF09/train/1879.png;1121-117-720-452
/scratch/hnkmah001/Datasets/ImageCLEF09/train/1880.png;1121-127-700-500
/scratch/hnkmah001/Datasets/ImageCLEF09/train/1882.png;1121-115-710-400
/scratch/hnkmah001/Datasets/ImageCLEF09/train/1883.png;1121-115-700-400
/scratch/hnkmah001/Datasets/ImageCLEF09/train/1887.png;1121-117-722-442
/scratch/hnkmah001/Datasets/ImageCLEF09/train/1888.png;1121-117-722-442
/scratch/hnkmah001/Datasets/ImageCLEF09/train/1891.png;1121-115-700-400
/scratch/hnkmah001/Datasets/ImageCLEF09/train/1892.png;1121-127-700-500
/scratch/hnkmah001/Datasets/ImageCLEF09/train/1893.png;1121-127-700-500
/scratch/hnkmah001/Datasets/ImageCLEF09/train/1894.png;1121-127-720-512
/scratch/hnkmah001/Datasets/ImageCLEF09/train/1895.png;1121-127-700-500
/scratch/hnkmah001/Datasets/ImageCLEF09/train/1899.png;1121-115-700-400
/scratch/hnkmah001/Datasets/ImageCLEF09/train/1998.png;1121-127-700-500
/scratch/hnkmah001/Datasets/ImageCLEF09/train/1999.png;1121-127-732-500
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2029.png;1121-115-700-400
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2030.png;1121-115-700-400
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2031.png;1121-127-700-500
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2032.png;1121-127-700-500
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2033.png;1121-127-700-500
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2034.png;1121-115-700-400
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2035.png;1121-127-720-512
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2036.png;1121-127-700-500
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2038.png;1121-127-700-500
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2040.png;1121-127-732-500
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2041.png;1121-127-732-500
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2042.png;1121-115-700-400
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2043.png;1121-127-700-500
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2044.png;1121-115-700-400
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2045.png;1121-127-700-500
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2046.png;1121-127-700-500
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2047.png;1121-115-700-400
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2132.png;1121-115-700-400
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2133.png;1121-127-700-500
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2134.png;1121-127-700-500
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2135.png;1121-127-720-512
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2136.png;1121-120-820-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2137.png;1121-115-700-400
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2140.png;1121-110-411-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2143.png;1121-110-415-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2144.png;1121-110-414-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2147.png;1121-110-414-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2148.png;1121-110-414-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2149.png;1121-110-414-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2150.png;1121-110-414-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2156.png;1121-110-414-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2157.png;1121-110-414-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2158.png;1121-110-414-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2159.png;1121-110-414-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2160.png;1121-110-414-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2161.png;1121-110-414-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2162.png;1121-110-414-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2163.png;1121-110-414-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2164.png;1121-110-414-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2166.png;1121-110-414-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2167.png;1121-110-414-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2168.png;1121-110-414-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2169.png;1121-110-414-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2170.png;1121-110-414-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2171.png;1121-110-414-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2172.png;1121-110-414-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2173.png;1121-110-415-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2175.png;1121-110-415-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2176.png;1121-110-415-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2177.png;1121-110-414-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2179.png;1121-110-414-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2180.png;1121-110-414-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2181.png;1121-120-462-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2182.png;1121-120-462-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2185.png;1121-200-411-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2186.png;1121-200-411-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2187.png;1121-110-411-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2188.png;1121-110-411-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2192.png;1121-120-421-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2193.png;1121-240-421-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2194.png;1121-120-442-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2196.png;1121-120-442-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2198.png;1121-240-413-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2199.png;1121-120-421-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2200.png;1121-240-421-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2201.png;1121-120-421-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2202.png;1121-120-463-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2203.png;1121-12f-467-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2207.png;1121-240-441-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2211.png;1121-110-414-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2212.png;1121-120-421-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2213.png;1121-240-433-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2217.png;1121-4a0-414-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2222.png;1121-120-441-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2224.png;1121-120-442-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2225.png;1121-240-442-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2226.png;1121-120-433-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2227.png;1121-240-433-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2228.png;1121-110-411-700
/scratch/hnkmah001/Datasets/ImageCLEF09/train/2229.png;1121-200-411-700
