2021-02-10 14:00:34.055033: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
2021-02-10 14:04:32.231031: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-02-10 14:04:32.234344: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcuda.so.1
2021-02-10 14:04:32.303520: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1720] Found device 0 with properties: 
pciBusID: 0000:02:00.0 name: Tesla K40m computeCapability: 3.5
coreClock: 0.745GHz coreCount: 15 deviceMemorySize: 11.92GiB deviceMemoryBandwidth: 268.58GiB/s
2021-02-10 14:04:32.306292: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1720] Found device 1 with properties: 
pciBusID: 0000:03:00.0 name: Tesla K40m computeCapability: 3.5
coreClock: 0.745GHz coreCount: 15 deviceMemorySize: 11.92GiB deviceMemoryBandwidth: 268.58GiB/s
2021-02-10 14:04:32.307185: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
2021-02-10 14:04:32.373374: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcublas.so.11
2021-02-10 14:04:32.374508: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcublasLt.so.11
2021-02-10 14:04:32.403531: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcufft.so.10
2021-02-10 14:04:32.427333: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcurand.so.10
2021-02-10 14:04:32.429103: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'libcusolver.so.10'; dlerror: libcusolver.so.10: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /.singularity.d/libs
2021-02-10 14:04:32.445065: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcusparse.so.11
2021-02-10 14:04:32.446353: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'libcudnn.so.8'; dlerror: libcudnn.so.8: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /.singularity.d/libs
2021-02-10 14:04:32.447166: W tensorflow/core/common_runtime/gpu/gpu_device.cc:1757] Cannot dlopen some GPU libraries. Please make sure the missing libraries mentioned above are installed properly if you would like to use GPU. Follow the guide at https://www.tensorflow.org/install/gpu for how to download and setup the required libraries for your platform.
Skipping registering GPU devices...
2021-02-10 14:04:32.450167: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-02-10 14:04:32.450962: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1261] Device interconnect StreamExecutor with strength 1 edge matrix:
2021-02-10 14:04:32.451741: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1267]      
INFO: loading CT volume...
Done.
3D FFT computed.


Epoch 1: training on 10935 images and validating on 3645 images.

2021-02-10 14:04:40.241353: I tensorflow/compiler/mlir/mlir_graph_optimization_pass.cc:116] None of the MLIR optimization passes are enabled (registered 2)
2021-02-10 14:04:40.245281: I tensorflow/core/platform/profile_utils/cpu_utils.cc:112] CPU Frequency: 2100160000 Hz
Step 1: 	 loss = 72.9257 	 acc = 0.0000 	 (9.23 seconds/step)
train.py:196: VisibleDeprecationWarning: Creating an ndarray from ragged nested sequences (which is a list-or-tuple of lists-or-tuples-or ndarrays with different lengths or shapes) is deprecated. If you meant to do this, you must specify 'dtype=object' when creating the ndarray
  train_batch = np.array(train_batch)
Step 2: 	 loss = 72.2260 	 acc = 0.0000 	 (2.59 seconds/step)
Step 3: 	 loss = 68.1859 	 acc = 0.0000 	 (2.72 seconds/step)
Step 4: 	 loss = 73.3879 	 acc = 0.0000 	 (2.57 seconds/step)
Step 5: 	 loss = 73.8204 	 acc = 0.0000 	 (2.63 seconds/step)
Step 6: 	 loss = 73.5726 	 acc = 0.0000 	 (2.64 seconds/step)
Step 7: 	 loss = 71.5020 	 acc = 0.0000 	 (2.67 seconds/step)
Step 8: 	 loss = 73.0558 	 acc = 0.0000 	 (2.75 seconds/step)
Step 9: 	 loss = 72.6670 	 acc = 0.0000 	 (2.68 seconds/step)
Step 10: 	 loss = 71.6769 	 acc = 0.0000 	 (2.55 seconds/step)
Step 11: 	 loss = 68.6982 	 acc = 0.0000 	 (2.61 seconds/step)
Step 12: 	 loss = 72.7695 	 acc = 0.0000 	 (2.68 seconds/step)
Step 13: 	 loss = 72.1950 	 acc = 0.0000 	 (2.81 seconds/step)
Step 14: 	 loss = 72.4620 	 acc = 0.0000 	 (2.84 seconds/step)
Step 15: 	 loss = 71.8146 	 acc = 0.0000 	 (2.71 seconds/step)
Step 16: 	 loss = 62.2885 	 acc = 0.0000 	 (2.68 seconds/step)
Step 17: 	 loss = 71.9077 	 acc = 0.0000 	 (2.80 seconds/step)
Step 18: 	 loss = 68.2091 	 acc = 0.1250 	 (2.73 seconds/step)
Step 19: 	 loss = 70.4867 	 acc = 0.1250 	 (2.71 seconds/step)
Step 20: 	 loss = 68.2539 	 acc = 0.0000 	 (2.71 seconds/step)
Step 21: 	 loss = 71.4943 	 acc = 0.1250 	 (2.75 seconds/step)
Step 22: 	 loss = 68.1162 	 acc = 0.0000 	 (2.77 seconds/step)
Step 23: 	 loss = 68.0560 	 acc = 0.0000 	 (2.68 seconds/step)
Step 24: 	 loss = 71.0647 	 acc = 0.0000 	 (2.72 seconds/step)
Step 25: 	 loss = 70.4081 	 acc = 0.1250 	 (2.81 seconds/step)
Step 26: 	 loss = 67.6758 	 acc = 0.0000 	 (2.73 seconds/step)
Step 27: 	 loss = 71.0660 	 acc = 0.0000 	 (2.72 seconds/step)
Step 28: 	 loss = 65.1046 	 acc = 0.0000 	 (2.85 seconds/step)
Step 29: 	 loss = 70.0429 	 acc = 0.0000 	 (2.80 seconds/step)
Step 30: 	 loss = 71.3523 	 acc = 0.0000 	 (2.78 seconds/step)
Step 31: 	 loss = 70.9264 	 acc = 0.0000 	 (2.73 seconds/step)
Step 32: 	 loss = 68.4835 	 acc = 0.0000 	 (2.76 seconds/step)
Step 33: 	 loss = 67.9317 	 acc = 0.0000 	 (2.75 seconds/step)
Step 34: 	 loss = 68.8835 	 acc = 0.0000 	 (2.74 seconds/step)
Step 35: 	 loss = 67.2573 	 acc = 0.0000 	 (2.78 seconds/step)
Step 36: 	 loss = 66.1210 	 acc = 0.0000 	 (2.68 seconds/step)
Step 37: 	 loss = 70.9740 	 acc = 0.0000 	 (2.77 seconds/step)
Step 38: 	 loss = 70.9212 	 acc = 0.0000 	 (2.77 seconds/step)
Step 39: 	 loss = 65.8461 	 acc = 0.0000 	 (2.73 seconds/step)
Step 40: 	 loss = 66.7596 	 acc = 0.0000 	 (2.82 seconds/step)
Step 41: 	 loss = 69.7002 	 acc = 0.0000 	 (2.96 seconds/step)
Step 42: 	 loss = 65.3300 	 acc = 0.1250 	 (2.72 seconds/step)
Step 43: 	 loss = 71.0862 	 acc = 0.0000 	 (2.72 seconds/step)
Step 44: 	 loss = 66.7279 	 acc = 0.0000 	 (2.87 seconds/step)
Step 45: 	 loss = 65.9278 	 acc = 0.0000 	 (2.79 seconds/step)
Step 46: 	 loss = 67.6543 	 acc = 0.0000 	 (2.75 seconds/step)
Step 47: 	 loss = 70.3713 	 acc = 0.0000 	 (2.79 seconds/step)
Step 48: 	 loss = 63.7950 	 acc = 0.0000 	 (2.72 seconds/step)
Step 49: 	 loss = 69.7366 	 acc = 0.1250 	 (2.81 seconds/step)
Step 50: 	 loss = 67.3799 	 acc = 0.2500 	 (2.78 seconds/step)
Step 51: 	 loss = 63.9459 	 acc = 0.0000 	 (2.79 seconds/step)
Step 52: 	 loss = 69.6186 	 acc = 0.0000 	 (2.68 seconds/step)
Step 53: 	 loss = 68.7823 	 acc = 0.0000 	 (2.79 seconds/step)
Step 54: 	 loss = 63.1933 	 acc = 0.0000 	 (2.76 seconds/step)
