image,elevation,azimuth
SMIR.Body.021Y.M.CT.57761_0_0.png,0,0
SMIR.Body.021Y.M.CT.57761_0_10.png,0,10
SMIR.Body.021Y.M.CT.57761_0_20.png,0,20
SMIR.Body.021Y.M.CT.57761_0_30.png,0,30
SMIR.Body.021Y.M.CT.57761_0_40.png,0,40
SMIR.Body.021Y.M.CT.57761_0_50.png,0,50
SMIR.Body.021Y.M.CT.57761_0_60.png,0,60
SMIR.Body.021Y.M.CT.57761_0_70.png,0,70
SMIR.Body.021Y.M.CT.57761_0_80.png,0,80
SMIR.Body.021Y.M.CT.57761_0_90.png,0,90
SMIR.Body.021Y.M.CT.57761_0_100.png,0,100
SMIR.Body.021Y.M.CT.57761_0_110.png,0,110
SMIR.Body.021Y.M.CT.57761_0_120.png,0,120
SMIR.Body.021Y.M.CT.57761_0_130.png,0,130
SMIR.Body.021Y.M.CT.57761_0_140.png,0,140
SMIR.Body.021Y.M.CT.57761_0_150.png,0,150
SMIR.Body.021Y.M.CT.57761_0_160.png,0,160
SMIR.Body.021Y.M.CT.57761_0_170.png,0,170
SMIR.Body.021Y.M.CT.57761_0_180.png,0,180
SMIR.Body.021Y.M.CT.57761_0_190.png,0,190
SMIR.Body.021Y.M.CT.57761_0_200.png,0,200
SMIR.Body.021Y.M.CT.57761_0_210.png,0,210
SMIR.Body.021Y.M.CT.57761_0_220.png,0,220
SMIR.Body.021Y.M.CT.57761_0_230.png,0,230
SMIR.Body.021Y.M.CT.57761_0_240.png,0,240
SMIR.Body.021Y.M.CT.57761_0_250.png,0,250
SMIR.Body.021Y.M.CT.57761_0_260.png,0,260
SMIR.Body.021Y.M.CT.57761_0_270.png,0,270
SMIR.Body.021Y.M.CT.57761_0_280.png,0,280
SMIR.Body.021Y.M.CT.57761_0_290.png,0,290
SMIR.Body.021Y.M.CT.57761_0_300.png,0,300
SMIR.Body.021Y.M.CT.57761_0_310.png,0,310
SMIR.Body.021Y.M.CT.57761_0_320.png,0,320
SMIR.Body.021Y.M.CT.57761_0_330.png,0,330
SMIR.Body.021Y.M.CT.57761_0_340.png,0,340
SMIR.Body.021Y.M.CT.57761_0_350.png,0,350
SMIR.Body.021Y.M.CT.57761_10_0.png,10,0
SMIR.Body.021Y.M.CT.57761_10_10.png,10,10
SMIR.Body.021Y.M.CT.57761_10_20.png,10,20
SMIR.Body.021Y.M.CT.57761_10_30.png,10,30
SMIR.Body.021Y.M.CT.57761_10_40.png,10,40
SMIR.Body.021Y.M.CT.57761_10_50.png,10,50
SMIR.Body.021Y.M.CT.57761_10_60.png,10,60
SMIR.Body.021Y.M.CT.57761_10_70.png,10,70
SMIR.Body.021Y.M.CT.57761_10_80.png,10,80
SMIR.Body.021Y.M.CT.57761_10_90.png,10,90
SMIR.Body.021Y.M.CT.57761_10_100.png,10,100
SMIR.Body.021Y.M.CT.57761_10_110.png,10,110
SMIR.Body.021Y.M.CT.57761_10_120.png,10,120
SMIR.Body.021Y.M.CT.57761_10_130.png,10,130
SMIR.Body.021Y.M.CT.57761_10_140.png,10,140
SMIR.Body.021Y.M.CT.57761_10_150.png,10,150
SMIR.Body.021Y.M.CT.57761_10_160.png,10,160
SMIR.Body.021Y.M.CT.57761_10_170.png,10,170
SMIR.Body.021Y.M.CT.57761_10_180.png,10,180
SMIR.Body.021Y.M.CT.57761_10_190.png,10,190
SMIR.Body.021Y.M.CT.57761_10_200.png,10,200
