image,elevation,azimuth,inplane
SMIR.Body.021Y.M.CT.57761_1.png,0.0561,0.0,0.0
SMIR.Body.021Y.M.CT.57761_2.png,0.0561,2.0944,0.0
SMIR.Body.021Y.M.CT.57761_3.png,0.0561,4.1888,0.0
SMIR.Body.021Y.M.CT.57761_4.png,0.1683,0.0,0.0
SMIR.Body.021Y.M.CT.57761_5.png,0.1683,0.6981,0.0
SMIR.Body.021Y.M.CT.57761_6.png,0.1683,1.3963,0.0
SMIR.Body.021Y.M.CT.57761_7.png,0.1683,2.0944,0.0
SMIR.Body.021Y.M.CT.57761_8.png,0.1683,2.7925,0.0
SMIR.Body.021Y.M.CT.57761_9.png,0.1683,3.4907,0.0
SMIR.Body.021Y.M.CT.57761_10.png,0.1683,4.1888,0.0
SMIR.Body.021Y.M.CT.57761_11.png,0.1683,4.8869,0.0
SMIR.Body.021Y.M.CT.57761_12.png,0.1683,5.5851,0.0
SMIR.Body.021Y.M.CT.57761_13.png,0.2805,0.0,0.0
SMIR.Body.021Y.M.CT.57761_14.png,0.2805,0.3927,0.0
SMIR.Body.021Y.M.CT.57761_15.png,0.2805,0.7854,0.0
SMIR.Body.021Y.M.CT.57761_16.png,0.2805,1.1781,0.0
SMIR.Body.021Y.M.CT.57761_17.png,0.2805,1.5708,0.0
SMIR.Body.021Y.M.CT.57761_18.png,0.2805,1.9635,0.0
SMIR.Body.021Y.M.CT.57761_19.png,0.2805,2.3562,0.0
SMIR.Body.021Y.M.CT.57761_20.png,0.2805,2.7489,0.0
SMIR.Body.021Y.M.CT.57761_21.png,0.2805,3.1416,0.0
SMIR.Body.021Y.M.CT.57761_22.png,0.2805,3.5343,0.0
SMIR.Body.021Y.M.CT.57761_23.png,0.2805,3.927,0.0
SMIR.Body.021Y.M.CT.57761_24.png,0.2805,4.3197,0.0
SMIR.Body.021Y.M.CT.57761_25.png,0.2805,4.7124,0.0
SMIR.Body.021Y.M.CT.57761_26.png,0.2805,5.1051,0.0
SMIR.Body.021Y.M.CT.57761_27.png,0.2805,5.4978,0.0
SMIR.Body.021Y.M.CT.57761_28.png,0.2805,5.8905,0.0
SMIR.Body.021Y.M.CT.57761_29.png,0.3927,0.0,0.0
SMIR.Body.021Y.M.CT.57761_30.png,0.3927,0.2992,0.0
SMIR.Body.021Y.M.CT.57761_31.png,0.3927,0.5984,0.0
